year,country,ISO,"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, tertiary (% gross)",Internet Users(%),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
2003,"Egypt, Arab Rep.",EGY,68.402,2.08785646198219,27.6597499847412,4.037885189,1056.93720896595,4.50777636319307
2002,"Egypt, Arab Rep.",EGY,68.564,2.09110329331686,30.7985401153564,2.71999979,1144.53239841974,2.73723855000332
2001,"Egypt, Arab Rep.",EGY,68.308,2.0564198428314,29.7544593811035,0.838945627,1327.09651832991,2.26975720475954
2000,"Egypt, Arab Rep.",EGY,68.007,2.07183470577985,,0.641265035,1398.85983078672,2.68380535348548
1999,"Egypt, Arab Rep.",EGY,67.737,2.11332015702818,30.7246494293213,0.290445268,1297.57469006096,3.07949912638328
1998,"Egypt, Arab Rep.",EGY,67.471,2.14462708535911,,0.147987381,1239.35356227086,3.87257546427492
1997,"Egypt, Arab Rep.",EGY,67.197,2.15540119420392,,0.090480246,1170.8047978923,4.6256057882644
1996,"Egypt, Arab Rep.",EGY,66.742,2.15573650351395,,0.061466899,1031.48807810504,7.18710369719989
1995,"Egypt, Arab Rep.",EGY,66.312,2.19172285065762,,0.031319637,937.543150130502,15.7422305021596
1994,"Egypt, Arab Rep.",EGY,65.816,2.24505067418641,,0.00638327,826.718967131504,8.15423128587101
1993,"Egypt, Arab Rep.",EGY,65.468,2.29563116641862,,0.000975791,758.829619215034,12.0897922868977
1992,"Egypt, Arab Rep.",EGY,65.031,2.32406409289331,,0.0,697.726040479516,13.6374241717218
1991,"Egypt, Arab Rep.",EGY,64.755,2.41133033369101,12.178689956665,0.0,637.897597341886,19.7485448195578
1990,"Egypt, Arab Rep.",EGY,64.146,2.5648085572032,14.4298696517944,0.0,751.187490181277,16.7563747077691
1989,"Egypt, Arab Rep.",EGY,63.628,2.66659415952819,15.5887403488159,0.0,712.914876046603,21.2618670886078
1988,"Egypt, Arab Rep.",EGY,62.98,2.72021662533725,18.2116298675537,0.0,644.219632529034,17.66348615313
1987,"Egypt, Arab Rep.",EGY,62.137,2.71823653037365,18.6545791625977,0.0,765.60573087841,19.693593314763
1986,"Egypt, Arab Rep.",EGY,61.261,2.73714675819797,18.594310760498,0.0,802.217969374844,23.8642898217366
1985,"Egypt, Arab Rep.",EGY,60.542,2.75444121792758,18.7480907440186,0.0,780.510528244187,12.1067560598247
1984,"Egypt, Arab Rep.",EGY,59.73,2.7550977467662,20.0450496673584,0.0,697.897933742092,17.0363663799608
1983,"Egypt, Arab Rep.",EGY,58.888,2.7077568266867,19.4309196472168,0.0,653.935441189967,16.079873883342
1982,"Egypt, Arab Rep.",EGY,57.948,2.61383660122245,18.7287406921387,0.0,600.043052116351,14.8230088495577
1981,"Egypt, Arab Rep.",EGY,57.138,2.59696781360793,17.6411209106445,0.0,493.013175895483,10.3172842245395
1980,"Egypt, Arab Rep.",EGY,56.628,2.5842718504091,16.7013206481934,0.0,495.328535561011,20.8192249324219
1979,"Egypt, Arab Rep.",EGY,55.802,2.50775131645115,16.2919406890869,,422.696046016662,9.90436051231128
1978,"Egypt, Arab Rep.",EGY,54.99,2.43281978499526,16.2147102355957,,356.250661142198,11.078100382614
1977,"Egypt, Arab Rep.",EGY,54.134,2.31431888791727,15.6161699295044,,354.897615211466,12.7321627929891
1976,"Egypt, Arab Rep.",EGY,53.365,2.22762179469207,13.7467098236084,,335.846333857081,10.3174158877413
1975,"Egypt, Arab Rep.",EGY,52.591,2.20385542788772,12.1324701309204,,299.987199906961,9.66969548151247
1974,"Egypt, Arab Rep.",EGY,51.838,2.15754030492084,10.7099895477295,,243.313267214292,10.0243177516484
1973,"Egypt, Arab Rep.",EGY,50.852,2.15118273081426,9.43842029571533,,272.045353077779,5.11218403908757
1972,"Egypt, Arab Rep.",EGY,50.765,2.15569390488142,8.11211013793945,,255.971413977343,2.10236334610112
1971,"Egypt, Arab Rep.",EGY,50.386,2.20084374364208,7.18289995193481,,242.133278552616,3.14042171394198
1970,"Egypt, Arab Rep.",EGY,50.013,2.28580621281616,,,231.217402368792,3.76289859580536
1969,"Egypt, Arab Rep.",EGY,49.797,2.3552253036218,,,191.91857401303,3.40982028243742
1968,"Egypt, Arab Rep.",EGY,49.897,2.42712134718019,,,178.65710803919,-1.67575942456909
1967,"Egypt, Arab Rep.",EGY,49.538,2.48454765543641,,,172.963857440933,0.701897484353725
1966,"Egypt, Arab Rep.",EGY,49.504,2.54584507652474,,,166.956112159799,9.03644065817632
1965,"Egypt, Arab Rep.",EGY,49.128,2.60288990692825,,,160.5747365455,14.8390044616241
1964,"Egypt, Arab Rep.",EGY,48.47,2.63446301996047,,,,3.66098294885465
1963,"Egypt, Arab Rep.",EGY,47.672,2.63622185854676,,,,0.746645708135439
1962,"Egypt, Arab Rep.",EGY,46.843,2.62194328950544,,,,-3.00307658790784
1961,"Egypt, Arab Rep.",EGY,46.024,2.60451812442641,,,,0.693606754935318
1960,"Egypt, Arab Rep.",EGY,45.373,,,,,0.332829047091774
2022,United States,USA,,0.377564531459432,,,76398.5917422054,8.00279982052117
2021,United States,USA,76.3292682926829,0.156747054750178,,,70219.472454115,4.69785886363739
2020,United States,USA,76.9804878048781,0.964347900193196,87.5676574707031,90.90000153,63528.6343027508,1.23358439630637
2019,United States,USA,78.7878048780488,0.455381285963537,87.8887100219727,89.43028259,65120.3946628653,1.81221007526015
2018,United States,USA,78.6390243902439,0.526435395564053,88.2991790771484,88.49890137,62823.309438197,2.44258329692818
2017,United States,USA,78.5390243902439,0.63264399508256,88.1673889160156,87.27488708,59907.754260885,2.13011000365963
2016,United States,USA,78.5390243902439,0.724676067451429,88.8350524902344,85.54441833,57866.7449341091,1.26158320570537
